Master_ID,Queue_Reason,AI_Decision,Title,Year,Venue,DOI,Abstract,Keywords,Exclusion_Code,AI_Reason,Primary_Theme,Priority_Score,Human_Decision,Human_Exclusion_Code,Reviewer_Notes,Reviewer,Reviewed_UTC
M-0790,QC sample — Include,Include,Economic implications of enhanced stock market analysis using improved forecasting methods,2025,Expert Systems with Applications,10.1016/j.eswa.2025.127240,"Stock price forecasting in financial markets is a very challenging task, mainly because of the inherent nonlinearity and nonstationary of stock price time series, which are influenced by many dynamic factors. This paper proposes a novel hybrid model to overcome these challenges effectively. The model integrates Empirical Mode Decomposition (EMD), Sample Entropy (SE), Slime Mould Algorithm (SMA), Extreme Learning Machine (ELM), and Bidirectional Gated Recurrent Units (BiGRU). Using a decade-long dataset of the CSI 300 index, with daily prices and trading volumes the model demonstrated highly accurate performance. The development of the proposed EMD-SE-ELM-SMA-BiGRU process first starts with data decomposition using EMD, which decomposes these complex financial time series into simpler intrinsic mode functions (IMFs). Then, these IMFs are clustered by SE into four different sequences of high, medium, low, and residual. The ELM model is used for the processing of the high-frequency sequence due to its capability of detecting rapid variations, while the rest of the sequences are handled by the SMA-BiGRU model to capture long-term dependencies and relations. The proposed hybrid model, on the CSI 300, achieved an R2 value of 0.9823. Additionally, the model demonstrated its adaptability to other global indices by obtaining R2 values of 0.9853 for Apple stock, 0.9905 for the BSE index, 0.9917 for Crude Oil price, 0.9918 for Gold price, 0.9816 for HSI, and 0.9928 for the Nasdaq index. The results underscore the effectiveness of the EMD-SE-ELM-SMA-BiGRU model in discerning intricate market dynamics, as a way to enhance the precision of stock price forecasts and to offer insights useful for policymakers and investors operating in different market conditions.","Bidirectional Gated Recurrent Unit, CSI 300 Index, Hybrid Model, Market Trends, Stock Price Forecasting",,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,5,Exclude,E12,,Harman,2026-09-25T06:53:27.995341+00:00
M-0837,QC sample — Include,Include,Learning to understand financial risk contagion from a frequency-domain graph learning framework,2026,Expert Systems with Applications,10.1016/j.eswa.2026.131619,"Understanding and predicting financial risk contagion is paramount for effective risk management and investment decision-making. Although the effectiveness of deep graph learning in this area is widely recognised, existing methods are confined to time-domain frameworks and struggle to capture contagion pathways beyond the most direct or synchronous ones. This makes it difficult to resolve the risk propagation anomalies that are inherent in financial markets. To overcome this limitation, we propose a Finance Frequency-Domain Graph Neural Network, an end-to-end graph learning framework based on the frequency domain. Specifically, (1) a knowledge-guided paradigm alignment module performs spectral calibration via learnable market frequency prototypes to project stock features into a unified semantic space; (2) a dynamic relation inference mechanism distills risk contagion pathways by quantifying spectral coherence and phase differentials between dominant frequency bands; and (3) a state-aware risk propagation module achieves adaptive modeling of risk evolution by re-routing the flow of risk information based on each node’s unique state. Extensive experiments on real-world datasets from the Chinese and US stock markets demonstrate that our model achieves the best performance in terms of both prediction accuracy and investment metrics, highlighting the effectiveness of frequency-domain modeling.","Graph neural networks, Stock market prediction, Risk contagion",,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:53:31.001857+00:00
M-0863,QC sample — Include,Include,Return prediction: A tree-based conditional sort approach with firm characteristics,2024,Finance Research Letters,10.1016/j.frl.2023.104826,"This paper proposes the Augmented Tree-Based Conditional Sort approach to investigate the return prediction problems. We find a momentum effect in the Chinese stock market using monthly data over 5000 stocks from January 2005 to December 2022. The corresponding momentum strategy robustly outperforms the market portfolio and earns an excess return of 10.60 % annually. Besides a full-period momentum effect, we find a sub-period reversal effect before year 2018 and locate year 2018 as a turning point from the reversal effect to the momentum effect. We attribute this phenomenon to the rapid increase of institutional investors since then. © 2023",Firm characteristics; Machine learning; Market prediction; Portfolio allocation; Tree-based conditional sort,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:53:34.079167+00:00
M-0921,QC sample — Include,Include,"Exploring predictive prowess of ensemble machine learning models in banking stocks: A technical, fundamental, and macroeconomic analysis",2025,IIMB Management Review,10.1016/j.iimb.2025.100570,"The work scrutinises the predictive prowess of ensemble machine learning models, namely Random Forest, Gradient Boosting, and XGBoost, in the domain of stock prediction by training models at two different stages. In stage 1, we restrict our evaluation to 18 technical indicators alongside holding period returns of 20 Indian Banks between January 2013 and March 2022, for short-term (20, 40, and 60 days), medium-term (180 days), and long-term durations (240 days); in stage 2, we further develop the study by including an additional combination of 6 firm-specific fundamental factors and 6 macroeconomic variables along with 18 technical indicators designed using price, volume, and momentum. During stage 1, we observe a modest range of performance, that is, between 62% and 78% across metrics, namely, accuracy score, F1 score, precision values, recall score, and specificity numbers. However, with the inclusion of fundamental and macroeconomic factors in stage 2, we observe a significant improvement in performance metrics to the tune of 90% across models for different holding periods. Particularly, for XGBoost, the reported accuracy range lies between 96% and 98%. Results indicate that while technical indicators are extremely important for short-term returns, the feature importance of fundamental and macroeconomic variables is highlighted during medium-term and long-term, respectively.","Machine learning, Stock prediction, Technical indicators, Firm-specific factors, Macroeconomic variables",,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,3,Exclude,E04,,Harman,2026-09-25T06:53:41.512040+00:00
M-0948,QC sample — Include,Include,Relational Fusion-based Stock Selection with Neural Recursive Ordinary Differential Equation Networks,2024,Information Fusion,10.1016/j.inffus.2024.102468,"Stock selection attempts to rank a list of stocks for optimizing investment decision making, aiming at minimizing investment risks while maximizing profit returns. Recently, researchers have developed various (recurrent) neural network-based methods to tackle this problem. Without exceptions, they primarily leverage historical market volatility to enhance the selection performance. However, these approaches greatly rely on discrete sampled market observations, which either fail to consider the uncertainty of stock fluctuations or predict continuous stock dynamics in the future. Besides, some studies have considered the explicit stock interdependence derived from multiple domains (e.g., industry and shareholder). Nevertheless, the implicit cross-dependencies among different domains are under-explored. To address such limitations, we present a novel stock selection solution—StockODE, a latent variable model with Gaussian prior. Specifically, we devise a Movement Trend Correlation module to expose the time-varying relationships regarding stock movements. We design Neural Recursive Ordinary Differential Equation Networks (NRODEs) to capture the temporal evolution of stock volatility in a continuous dynamic manner. Moreover, we build a hierarchical hypergraph to incorporate the domain-aware dependencies among the stocks. Experiments conducted on two real-world stock market datasets demonstrate that StockODE significantly outperforms several baselines, such as up to 18.57% average improvement regarding SR.","Stock selection, Stock movement, Ordinary differential equations, Bayesian learning, Hypergraph learning",,Explicit stock/equity forecasting task using AI/ML/DL.,T4 Multimodal/data fusion,3,Exclude,E12,,Harman,2026-09-25T06:53:46.992070+00:00
M-1031,QC sample — Include,Include,Systemic risk prediction using machine learning: Does network connectedness help prediction?,2024,International Review of Financial Analysis,10.1016/j.irfa.2024.103147,"The global financial crisis not only highlights the important role of financial network connectedness, but also urges regulators pay more attention to systemic risk. We study whether network connectedness helps systemic risk prediction by using machine learning techniques, including k-nearest neighbor (KNN), support vector regression (SVR), extreme gradient boosting (XGB), and feedforward neural network (FNN). Based on prediction results, we use the fingerprint model to deliver interpretability evaluations of financial variables and network connectedness. We find that (1) the linear and nonlinear effects of stock market volatility and network connectedness effectively interpret systemic risk; (2) the interaction effects between stock market volatility and other drivers have a stronger ability to predict system risk in SVR, KNN, and XGB approaches, while network connectedness performs more profoundly in FNN approach; and (3) the interaction effect between stock market volatility and network connectedness is evident in all approaches. © 2024 Elsevier Inc.",Fingerprint model; Interpretability; Machine learning; Network connectedness; Systemic risk,,Explicit stock/equity forecasting task using AI/ML/DL.,T7 Explainability/XAI,3,Exclude,E12,,Harman,2026-09-25T06:53:57.880991+00:00
M-1068,QC sample — Include,Include,"The more, the better? Predicting stock returns with local and global data",2026,Journal of Banking and Finance,10.1016/j.jbankfin.2026.107658,"We investigate the utility of local and global data in cross-sectional asset pricing. Using machine learning and three decades of stock data from 45 markets, we evaluate the performance of locally and globally trained models across country, regional, sector, and industry dimensions. We find limited added value in global over local data, as both yield comparable predictive performance. The gains from global training are uneven and mainly benefit smaller markets with high idiosyncratic risk. Stock return drivers are broadly consistent across markets, with global alignment in asset pricing increasing over time. Thus, local data is typically sufficient for accurate return forecasting, with incremental benefits of global datasets likely diminishing over time. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Asset pricing; Cross-section of stock returns; Elastic net; F37; Factor zoo; Financial integration; G12; G14; G15; International stock markets; Local vs. global models; Machine learning; Market integration; Return predictability; Transfer learning,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:54:04.513374+00:00
M-1154,QC sample — Include,Include,Is the U.S. energy independence and Security Act of 2022 associated with stock market volatility?,2024,Utilities Policy,10.1016/j.jup.2024.101813,"This study investigates the influence of the U.S. Energy Independence and Security Act (EISA) of 2022 on stock market volatility. Considering potential policy impacts on market dynamics, it employs a mean-reverting jump-diffusion model for volatility analysis, supported by rigorous hypothesis testing to validate empirical findings. For investor sentiment analysis, a pre-trained model (BERT-base-multilingual-uncased) is used to assess sentiment, with logistic regression and Bidirectional LSTM utilized for sentiment prediction. Contrary to conventional findings, logistic regression outperforms Bidirectional LSTM for the small dataset. Overall, the study estimates show no statistically noteworthy difference in volatility before and after implementing the EISA of 2022. This study provides valuable insights for navigating financial decisions within the intricate landscape of energy markets. © 2024 The Authors",Bidirectional LSTM; Jump-diffusion; Logistic regression; US energy markets; United States; Logistic regression; Long short-term memory; Power markets; Sentiment analysis; Bidirectional LSTM; Energy independence; Energy markets; Hypothesis testing; Jump diffusion models; Jump-diffusion; Logistics regressions; Market dynamics; Stock market volatility; US energy market; data set; energy market; energy policy; stock market; Investments,,Explicit stock/equity forecasting task using AI/ML/DL.,T3 Financial news/sentiment,3,Exclude,E03,,Harman,2026-09-25T06:54:17.702540+00:00
M-1381,QC sample — Include,Include,Synergy in Forecasting: A Comparative Study of Hybrid Transformer based Ensembles for Stock Market Prediction,2026,Procedia Computer Science,10.1016/j.procs.2026.06.479,"Analysing financial markets is an important process to empower investment decision-making and help ensure people can make the best opportunities without losing money while waiting for positive returns. Financial markets generally consist of an ecosystem of buying and selling securities, and, as a result, financial markets can be an overwhelming and often unsteady experience, especially for those not astute in finance. The unpredictability of the market further complicates the analysis of the market. The effort to forecast prices has garnered significant interest in academia and amongst investors and financial institutions. However, the endeavour faces significant obstacles. Ensemble models excel by capturing intricate relationships among the predictions of their component models, typically leading to enhanced accuracy beyond what any single model can achieve. This study proposes two hybrid ensemble architectures combining Transformers with traditional statistical models for stock market forecasting. The first ensemble uses stacking with Transformer and Lasso Regression, while the second uses a weighted combination of Transformer and ARIMAX. Experiments were conducted on two U.S. stocks, AAL and AAME, using eleven years (2013–2023) of daily market data. Evaluation with MSE, RMSE, MAE, and MAPE demonstrates that the Transformer–ARIMAX ensemble reduced prediction errors compared to baseline models, achieving an MSE of 0.003 on AAME and 0.063 on AAL. These results confirm that hybrid ensembles leveraging deep learning and statistical modelling achieve more accurate and robust forecasts than individual models.","Financial Forecasting, Time Series Analysis, Hybrid Models, Deep Learning, Machine Learning, Transformer Model",,Explicit stock/equity forecasting task using AI/ML/DL.,T5 Transformer/attention,2,Exclude,E09,,Harman,2026-09-25T06:54:24.892776+00:00
M-1425,QC sample — Include,Include,EP-RNN: Error-projected recurrent neural network for time series forecasting,2026,Results in Engineering,10.1016/j.rineng.2026.110454,"Despite their strong sequential modeling capabilities, recurrent neural networks (RNNs) remain vulnerable to noise, outlier-contaminated, and missing values in real-world time series, which undermines robustness and generalization. Conventional forecasting models struggle when inputs are corrupted, missing, or contaminated by outliers. Moreover, existing approaches that inject innovation signals either tie them to the output head, complicating training, or fail to provide gate-level corrective signals for broadly applicable forecasting. To address these limitations, we propose Error-Projected RNNs (EP-RNNs), a lightweight, architecture-agnostic modification that augments gated cells with a hidden-space innovation signal. Each gate receives a learnable corrective signal derived from the difference between the current input aligned proposal and the carried hidden state, decoupled from the output head and fully compatible with standard backpropagation through time. This mechanism enhances robustness, adaptability, and predictive accuracy under noise, missingness, outliers, and distribution shifts. We construct synthetic stress tests as controlled perturbation suites that add noise, induce missing values, and insert outliers, enabling us to evaluate how projected error aligns with realized future error and how it influences gate weights. We then validate EP-RNNs on these stress tests and on three real-world domains, including traffic flow, influenza-like illness, and stock market forecasting. Experimental results, evaluated using MSE, RMSE, and MAPE, demonstrate substantial and consistent improvements over standard LSTM, GRU, and BiLSTM models. Specifically, EP-LSTM achieves up to 83% improvement, EP-GRU up to 41%, and EP-BiLSTM up to 76% improvement on real-world datasets, highlighting the practical effectiveness of gate-level error modulation for reliable time series forecasting. © 2026 The Author(s).",Bidirectional long short-term memory (BiLSTM); Long short-term memory (LSTM); Recurrent neural networks (RNNs); Time series forecasting; Backpropagation; Electronic trading; Errors; Forecasting; Time series; Bidirectional long short-term memory; Gate levels; Long short-term memory; Missing values; Neural-networks; Recurrent neural network; Short term memory; Stress test; Time series forecasting; Long short-term memory,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,2,Exclude,E09,,Harman,2026-09-25T06:54:30.607647+00:00
M-1499,QC sample — Include,Include,Tree-based learning for high-fidelity prediction of chaos,2025,Scientific Reports,10.1038/s41598-025-25939-9,"Forecasting chaotic systems using machine learning has become highly sought after due to its potential applications in predicting climate and weather phenomena, stock market indices, and pathological activity in biomedical signals. However, existing solutions, such as neural network-based reservoir computing (RC) and long-short-term memory (LSTM), contain numerous model hyperparameters that must be tuned, often requiring high computational resources and large training datasets. Here, we propose a computationally simpler regression tree ensemble-based technique to predict the temporal evolution of chaotic systems in data-driven environments. Furthermore, we introduce a heuristic procedure to prescribe hyperparameters through automated statistical analysis of training data, which eliminates the need for the user to perform hyperparameter tuning. We investigate the efficacy of the proposed hyperparameter prescription procedure through numerical experiments. Lastly, we demonstrate the state-of-the-art performance of our proposed approach on several benchmark tasks, including the Southern Oscillation Index, a crucial but noisy climate time series with limited samples, to illustrate its effectiveness in real-world settings. © The Author(s) 2025.",; article; benchmarking; chaotic dynamics; El Nino; electric potential; forecasting; learning; long short term memory network; machine learning; nerve cell network; prediction; prescription; statistical analysis; stock market; time series analysis; weather,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,3,Exclude,E12,,Harman,2026-09-25T06:55:23.731941+00:00
M-1507,QC sample — Include,Include,Pythagorean fuzzy time series approach based on hybrid high-order artificial neural network for nonlinear time series forecasting,2026,Scientific Reports,10.1038/s41598-026-58132-7,"Fuzzy time series forecasting methods rely on the fuzzification of time-series observations through membership functions and the subsequent use of fuzzy-valued variables in the forecasting process. Although Pythagorean fuzzy time series models provide a richer representation of uncertainty than classical and intuitionistic fuzzy approaches, existing methods still face important challenges, including high-dimensional input structures generated by membership and non-membership values, a lack of systematic lag selection mechanisms, and limited capability to model complex nonlinear relationships. To address these limitations, this study employs an artificial neural network with a hybrid architecture combining a modified Pi-Sigma artificial neural network and simple exponential smoothing to capture both the linear and nonlinear dynamics and model the relationship in Pythagorean fuzzy time series. To mitigate the high-dimensional input structure arising from membership and non-membership values, principal component analysis was used for input dimension reduction and orthogonalization. Particle swarm optimization was used to estimate all the parameters in the Pythagorean fuzzy time series method. To evaluate its performance, the proposed forecasting algorithm was assessed against existing approaches in the literature using 10 distinct sub-time series generated via a rolling window approach from the S&P 500 and Dow-Jones 30 stock market composite indices, and the proposed method’s superior performance was demonstrated experimentally. From an artificial intelligence perspective, these contributions jointly define a novel Pythagorean fuzzy time series forecasting framework that advances hybrid neural network modelling and optimization, while from an engineering perspective, they provide a systematic and implementable methodology for constructing accurate forecasting models for complex nonlinear time series, particularly in financial and other engineering-oriented applications. © The Author(s) 2026.",Modified pi-sigma artificial neural network; Particle swarm optimization; Principal component analysis; Pythagorean fuzzy time series; Simple exponential smoothing; algorithm; article; artificial intelligence; artificial neural network; dimensionality reduction; forecasting; human; hybrid; nerve cell network; nonlinear system; particle swarm optimization; pharmaceutics; predictive model; principal component analysis; stock market; time series analysis,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,4,Exclude,E12,,Harman,2026-09-25T06:55:29.535610+00:00
M-1520,QC sample — Include,Include,Stock price prediction for a trading strategy: embedding trading strategy into deep learning framework,2024,Applied Economics,10.1080/00036846.2023.2289912,"This paper proposes a new approach to making stock price movement prediction better serve the trading strategy by embedding the strategy into deep learning. The trading strategy is incorporated into the model’s training loss function to obtain a higher return under the given trading strategy. To better embed the strategy into the learning model, we also adopt the data of the same day as a batch instead of fixed-size data as a batch. In other words, each parameter update is based on one day’s data. We used the data from the Chinese stock market for an empirical experiment, and according to the characteristics of the Chinese stock market, we made some special treatments. The empirical experiment results show that this method improves the trading strategy’s performance compared with the benchmark. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",Deep learning; embedding the strategy; forecasting model; stock price forecasting; China; forecasting method; machine learning; prediction; price dynamics; stock market,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:55:34.228442+00:00
M-1528,QC sample — Include,Include,Do government initiatives matter for green financial market volatility in BRICS economies? A systematic analysis using fuzzy-GARCH-LSTM modeling,2025,Applied Economics,10.1080/00036846.2025.2590110,"This research delves into the connection between national policy measures and economic success as measured by the stock market, examining the link between the all-share index and specific factors such as corruption control, government efficiency, political stability, lack of violence, and citizen participation and accountability in BRICS. Stock market index data were collected to fit and forecast government initiatives and yield volatility to quantify the risk value of the green financial market. The findings reveal apparent distinguishing features between the volatility risks of various financial markets, the green stock market exhibits 40% higher volatility than the green bond market, with policy interventions reducing crisis-period volatility by 18 to 22%. GARCH-LSTM hybrid models have the potential to enhance the accuracy of predictions considerably. To overcome traditional modelling limitations, a progressive fuzzy-GARCH modelling technique will be developed to predict returns on stock market assets. Highlighted an integrated fuzzy-GARCH-LSTM approach demonstrates superior accuracy, the hybrids achieve 30% better volatility clustering capture and 25% faster adaptation to regime shifts, validated by robust cross-testing. This integration provides actionable insights for managing risks in the green financial market, leading to a higher degree of volatility persistence in emerging markets. © 2025 Informa UK Limited, trading as Taylor & Francis Group.",BRICS G15; fuzzy systems C45; GARCH C58; government initiatives G18; LSTM C45,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:55:39.777548+00:00
M-1557,QC sample — Include,Include,"“Darling, time horizon matters”: applying the CNN-LSTM method for predicting US equity ETFs",2026,Applied Economics Letters,10.1080/13504851.2024.2396550,"The paper uses a hybrid model of convolutional neural network and long short-term memory (CNN-LSTM) to examine the impact of the prediction (or input) window length on the prediction accuracy of trading decisions for US equity ETFs. Results demonstrate that the prediction window length plays a vital role in the prediction accuracy of the trading decision. A hump-shaped relationship is observed between prediction accuracy and prediction window length over monthly trading days. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",Convolutional neural network; forecasting; long short-term memory; US equity market; United States; artificial neural network; economic analysis; equity; market conditions; prediction,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:55:45.600415+00:00
M-1783,QC sample — Include,Include,"A Comparative Study of Statistical, Machine Learning, and Deep Learning Models for Multivariate Gold Price Forecasting",2026,"2026 6th International Conference on Innovative Research in Applied Science, Engineering and Technology, IRASET 2026",10.1109/iraset68627.2026.11538489,"Gold price forecasting plays a critical role in financial decision-making due to gold's function as a safe-haven asset amid macroeconomic uncertainty and market volatility. However, accurately modeling gold prices remains challenging because of the non-stationary nature of financial time series and the complex, nonlinear interactions among macroeconomic variables. This study adopts a comparative experimental design to evaluate the forecasting performance of statistical, machine learning, and deep learning approaches within a unified multivariate framework. Specifically, ARIMAX, Prophet, Long Short-Term Memory (LSTM), XGBoost, and a linear ensemble of LSTM and XGBoost are assessed using daily gold price data augmented with key macroeconomic indicators, including inflation, treasury yields, stock market performance, and oil prices. A rolling-origin time series cross-validation strategy with a fixed 730-day forecasting horizon is employed to ensure realistic evaluation and to mitigate data leakage. Forecasting accuracy is measured using MAE, RMSE, MAPE, and SMAPE. Empirical results demonstrate that machine learning and deep learning models significantly outperform traditional statistical baselines, with LSTM achieving the best standalone performance and the ensemble model providing marginal yet consistent improvements across folds. Furthermore, SHAPbased interpretability analysis reveals that short-term lagged gold prices, inflation, and long-term interest rates are the most influential drivers of price dynamics, while deep learning models implicitly capture macroeconomic effects through temporal representations. Overall, the findings highlight the effectiveness of hybrid forecasting frameworks and underscore the importance of nonlinear modeling techniques for robust gold price prediction, offering practical insights for investors, financial institutions, and policymakers. © 2026 IEEE.",deep learning; forecasting; gold price; machine learning; multivariate model; Behavioral research; Commerce; Costs; Decision making; Electronic trading; Financial markets; Gold; Investments; Learning systems; Long short-term memory; Comparatives studies; Deep learning; Financial decisions; Gold prices; Learning models; Machine-learning; Multivariate modeling; Price forecasting; Short term memory; Statistical machine learning; Forecasting,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,3,Exclude,E03,,Harman,2026-09-25T06:56:07.370699+00:00
M-1824,QC sample — Include,Include,Human mobility and commercial real estate: Evidence from REIT operating performance,2025,Real Estate Economics,10.1111/1540-6229.70002,"The pandemic triggered a structural shift in the ways we work and live, and consequently altered human mobility. This study reveals how human mobility affects commercial real estate performance. We first use a machine learning model to determine the local factors that best predict human mobility. We next analyze the impact of predicted mobility on the operating performance of US Real Estate Investment Trusts (REITs), controlling for other pandemic-related factors. Our findings demonstrate that REITs with more exposure to mobility reduction report lower net operating income (NOI) during the pandemic, and importantly, the impact also extends to the postpandemic period. We find that the mobility reduction effect is more apparent in the office (through rental revenue) and retail (through operating expenses) sectors. We further demonstrate the sensitivity of adjusted funds from operations (AFFO) to predicted mobility has led to negative stock market reactions, more particularly for office REITs. Overall, our findings reveal that commercial real estate cash flows during the pandemic are more impacted by human mobility when compared to pandemic-specific factors such as COVID-19 cases and government interventions. Moreover, we extend our findings to the postpandemic period and show that human mobility has become a strong and persistent predictor of REIT performance. © 2025 The Author(s). Real Estate Economics published by Wiley Periodicals LLC on behalf of American Real Estate and Urban Economics Association.",commercial real estate; human mobility; pandemic; REITs; remote work,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:56:30.133208+00:00
M-1859,QC sample — Include,Include,A Dual-View Model for Stock Price Prediction of Internet-of-Thing Enterprises,2024,"Journal of Circuits, Systems and Computers",10.1142/s0218126624500178,"In recent years, with the continuous development of the capital market and intelligent internet of things (IIoTs) technologies, investors have focused more on IIoTs enterprises' stocks. Since the stocks of IIoTs enterprises have the characteristics of heavy capital flows and high stock price volatility, the effective prediction of IIoTs stock price changes plays an extremely important role in improving investment returns and controlling investment risks. According to the above characteristics, our model takes stock trend fluctuations and time series indicator changes into consideration and comprehensively captures IIoTs stock information from both the temporal domain and the spatial domain. Specifically, the proposed model is a dual-view model that incorporates selected trading indicators to predict the closing prices of stocks. In the first view, an RNN model is designed to enlarge the receptive field of the model. In the second view, we introduce an attention mechanism to extract the influences of individual stock trends on the forecasting target. To verify the validity of this prediction method, we compare it with six other stock prediction methods. The results show that on the Ping An (601318) and IFLYTEK (002230) datasets, our method achieves the best results, that is, the lowest RMSE values. © 2024 World Scientific Publishing Company.",Dual-view model; stock price prediction; Commerce; Financial markets; Forecasting; Investments; Capital flow; Continuous development; Dual-view model; Internet of things technologies; Investment returns; Prediction methods; Price changes; Stock price; Stock price prediction; Stock price volatilities; Internet of things,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,2,Exclude,E08,,Harman,2026-09-25T06:56:45.667862+00:00
M-1955,QC sample — Include,Include,A structural VAR and VECM modeling method for open-high-low-close data contained in candlestick chart,2024,Financial Innovation,10.1186/s40854-024-00622-6,"The structural modeling of open-high-low-close (OHLC) data contained within the candlestick chart is crucial to financial practice. However, the inherent constraints in OHLC data pose immense challenges to its structural modeling. Models that fail to process these constraints may yield results deviating from those of the original OHLC data structure. To address this issue, a novel unconstrained transformation method, along with its explicit inverse transformation, is proposed to properly handle the inherent constraints of OHLC data. A flexible and effective framework for structurally modeling OHLC data is designed, and the detailed procedure for modeling OHLC data through the vector autoregression and vector error correction model are provided as an example of multivariate time-series analysis. Extensive simulations and three authentic financial datasets from the Kweichow Moutai, CSI 100 index, and 50 ETF of the Chinese stock market demonstrate the effectiveness and stability of the proposed modeling approach. The modeling results of support vector regression provide further evidence that the proposed unconstrained transformation not only ensures structural forecasting of OHLC data but also is an effective feature-extraction method that can effectively improve the forecasting accuracy of machine-learning models for close prices. © The Author(s) 2024.",Candlestick chart; OHLC data; Structural modeling; Unconstrained transformation; VAR; VECM,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E08,,Harman,2026-09-25T06:57:00.674823+00:00
M-2053,QC sample — Include,Include,Presenting a Hybrid Method to Overcome the Challenges of Determining the Uncertainty of Future Stock Price Identification,2024,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2024.0150327,"A particular location, framework, or forum where buyers and sellers congregate to trade products, services, or assets is referred to as an economic market. While the future is unpredictable and unknowable, it is still possible to make informed predictions about the course of events. Predicting stock market movements using artificial intelligence and machine learning is one such potential. Even if the stock market is volatile, it is still feasible and wise to use artificial intelligence to create well-informed forecasts before making an investment. The current work suggests a novel approach to increase stock price forecast accuracy by integrating the Radical basis function with Particle Swarm Optimization, Slime Mold Algorithm, and Moth Flame Optimization. The objective of the study is to improve stock price forecast accuracy while accounting for the complexity and volatility of financial markets. The efficacy of the proposed strategy has been tested in the real world using historical stock price statistics. Results demonstrate considerable accuracy improvements over traditional RBF models. The combined strength of RBF and the optimization technique enhances the model's ability to adapt to changing market conditions in addition to increasing prediction accuracy. Results were 0.984, 0.990, 0.991, and 0.994 for RBF, PSO-RBF, SMA, and MFO-RBF, respectively. The performance of MFO-RBF in comparison to RBF shows how combining with the optimizer can enhance the performance of the given model. By contrasting the outcomes of various optimizers, the most accurate optimization has been determined as the main optimizer of the model. © (2024), (Science and Information Organization). All Rights Reserved.",optimization approaches; prediction models; Radical basis function; Stock market prediction movement; Commerce; Electronic trading; Forecasting; Investments; Particle swarm optimization (PSO); Radial basis function networks; Forecast accuracy; Optimisations; Optimization approach; Optimizers; Prediction modelling; Radical basis functions; Stock market prediction; Stock market prediction movement; Stock price; Stock price forecasts; Financial markets,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,3,Exclude,E12,,Harman,2026-09-25T06:57:18.723169+00:00
M-2090,QC sample — Include,Include,Evaluation on stock market forecasting framework for AI and embedded real-time system,2024,International Journal of Data Mining and Bioinformatics,10.1504/ijdmb.2024.139448,"Since its birth, the stock market has received widespread attention from many scholars and investors. However, there are many factors that affect stock prices, including the company's own internal factors and the impact of external policies. The extent and manner of fundamental impacts also vary, making stock price predictions very difficult. Based on this, this article first introduces the research significance of the stock market prediction framework, and then conducts academic research and analysis on two key sentences of stock market prediction and artificial intelligence in stock market prediction. Then this article proposes a constructive algorithm theory, and finally conducts a simulation comparison experiment and summarises and discusses the experiment. Research results show that the neural network prediction method is more effective in stock market prediction; the minimum training rate is generally 0.9; the agency's expected dilution rate and the published stock market dilution rate are both around 6%. Copyright © 2024 Inderscience Enterprises Ltd.",artificial intelligence; back propagation neural network; dilution rate; embedded real-time system; stock market forecast; algorithm; article; artificial intelligence; back propagation neural network; comparative study; dilution; forecasting; human; intelligence; nerve cell network; pharmacoeconomics; prediction; price; simulation; stock market,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:57:27.292420+00:00
