Master_ID,Reference_Decision,Reference_Code,V2_Working_Tier,V2_Relevance_Score,V2_Elicit_Priority,Aligned_For_Development,Title,Eligible_Target,Gap_Dimensions_Evidenced
M-0430,Exclude,E13,D_Low_Priority,6,Low,Yes,Client: Cross-variable linear integrated enhanced transformer for multivariate long-term time series forecasting,Unclear,Transformer_Attention
M-0449,Exclude,E06,D_Low_Priority,-4,Low,Yes,Reinforcement learning-enhanced multi-strategy cuckoo search algorithm to solve combined economic emission dispatch problems,Unclear,Metaheuristic
M-0586,Exclude,E13,D_Low_Priority,6,Low,Yes,A data-filtered sentiment analysis model for economic forecasting,Unclear,Sentiment; LLM_FinGPT
M-1097,Exclude,E12,C_Context_Background,15,Low,Yes,"Short-term momentum and reversals, turnover, and a stock's price-to-52-week-high ratio",Return,Fundamental_Data; Sentiment
M-1125,Include,,B_Direct_Stock_Forecasting,16,Low,Yes,How can we predict transportation stock prices using artificial intelligence? Findings from experiments with Long Short-Term Memory based algorithms,Price,
M-1415,Exclude,E12,C_Context_Background,7,Low,Yes,Volatility prediction model based on EPU-GPR-VIX multidimensional portfolio,Unclear,Sentiment; Temporal_Validation
M-1417,Exclude,E07,C_Context_Background,3,Low,Yes,Finance and emotions: A study on investor sentiment and its implication on market movements,Unclear,Sentiment
M-1444,Exclude,E06,D_Low_Priority,5,Low,Yes,AI-Driven urban planning optimization: A graph neural network and genetic algorithm framework for tackling peak-hour challenges,Unclear,Metaheuristic
M-1472,Exclude,E06,D_Low_Priority,-1,Low,Yes,Automatic ICD-10-CM coding via Lambda-Scaled attention based deep learning model,Unclear,Transformer_Attention
M-1844,Exclude,E08,C_Context_Background,14,Low,Yes,Can financial uncertainty forecast aggregate stock market returns?,Return,Temporal_Validation
M-1959,Exclude,E08,C_Context_Background,12,Low,Yes,"Understanding price momentum, market fluctuations, and crashes: insights from the extended Samuelson model",Price; Trend,Sentiment; Temporal_Validation
M-2113,Exclude,E07,C_Context_Background,7,Low,Yes,Monetary Policy and Financial Markets: Evidence from Twitter Traffic,Unclear,
M-2425,Include,,B_Direct_Stock_Forecasting,16,Low,Yes,Optimization of Traditional Stock Market Strategies Using the LSTM Hybrid Approach,Price,Technical_Indicators
M-2454,Exclude,E12,B2_Potentially_Relevant,10,Low,Yes,Deep Learning and Transformer Architectures for Volatility Forecasting: Evidence from U.S. Equity Indices,Unclear,Transformer_Attention
M-2535,Exclude,E12,C_Context_Background,8,Low,Yes,Calendar Anomalies and the Adaptive Market Hypothesis: New Evidence from a Historical Financial Dataset,Unclear,Temporal_Validation
