Master_ID,Title,Year,Venue,DOI,Working_Relevance_Tier,Relevance_Score,Elicit_Priority,Eligible_Target,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Gap_Dimensions_Evidenced
M-2194,Dynamic Deep Stock Price Prediction Network with Support of Multi-Source Information,2025,International Journal of Intelligent Engineering and Systems,10.22266/ijies2025.0930.09,A_Direct_Methodological_Priority,29,High,Price; Trend,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Fundamental_Data; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Indian_Market
M-0171,MoF: A Background-Aware Multi-source Fusion Financial Trend Forecasting Mechanism,2025,Computational Economics,10.1007/s10614-024-10811-1,A_Direct_Methodological_Priority,29,High,Price; Trend,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; LLM_FinGPT; Multimodal; Fusion; XAI
M-1368,Multimodal Financial Sentiment for Stock Return Prediction,2025,Procedia Computer Science,10.1016/j.procs.2025.09.177,A_Direct_Methodological_Priority,29,High,Return,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; Sentiment; Multimodal; Fusion; Transformer_Attention
M-0080,A deep fusion model for stock market prediction with news headlines and time series data,2024,Neural Computing and Applications,10.1007/s00521-024-10303-1,A_Direct_Methodological_Priority,29,High,Price; Trend,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion
M-2730,Cross-Country Stock Price Forecasting Using Multimodal Temporal Convolutional Fusion of Multilingual Financial Sentiment and Market Data,2026,International Journal of Computer Information Systems and Industrial Management Applications,10.70917/ijcisim-2026-2382,A_Direct_Methodological_Priority,28,High,Price; Direction/Movement,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Financial_News; Sentiment; Multimodal; Fusion; Transformer_Attention; Indian_Market; Multi_Stock
M-1508,"Enhancing stock market price prediction through FinGPT-driven sentiment analysis, technical indicators, historical price data, and attention-based hybrid deep learning models",2026,Scientific Reports,10.1038/s41598-026-58717-2,A_Direct_Methodological_Priority,28,High,Price,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; LLM_FinGPT; Multimodal; Fusion; Transformer_Attention
M-1593,"Expected price framework for Indian equities: a Random Forest model using behavioural, structural, and fundamental data",2026,Cogent Economics and Finance,10.1080/23322039.2026.2653292,A_Direct_Methodological_Priority,27,High,Price,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Fundamental_Data; Sentiment; Optimization; XAI; Temporal_Validation; Indian_Market
M-1505,FusionLSTM-CNF: a confidence-calibrated multi-modal late fusion framework for robust stock movement prediction under uncertainty,2026,Scientific Reports,10.1038/s41598-026-43381-3,A_Direct_Methodological_Priority,27,High,Direction/Movement,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Multimodal; Fusion
M-0923,Integrating sentiment analysis with CNN–LSTM models for stock price forecasting,2026,IIMB Management Review,10.1016/j.iimb.2026.100675,A_Direct_Methodological_Priority,27,High,Price,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion
M-2487,Stock Price Prediction Using FinBERT-Enhanced Sentiment with SHAP Explainability and Differential Privacy,2025,Mathematics,10.3390/math13172747,A_Direct_Methodological_Priority,27,High,Price; Direction/Movement,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention; XAI
M-0839,A multi-graph learning framework to fuse heterogeneous market information for stock forecasting,2026,Expert Systems with Applications,10.1016/j.eswa.2026.132142,A_Direct_Methodological_Priority,26,High,Direction/Movement,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Financial_News; Multimodal; Fusion; Transformer_Attention
M-1972,Forecasting China’s New Energy Stock Index Driven by Multi-Source Heterogeneous Information Fusion; [多源异构信息融合驱动的我国新能源股指预测研究],2026,Data Analysis and Knowledge Discovery,10.11925/infotech.2096-3467.2024.1205,A_Direct_Methodological_Priority,26,High,Price,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; LLM_FinGPT; Multimodal; Fusion; Transformer_Attention
M-1907,MSA-xLSTM: Multimodal Stock Price Forecasting With Multiscale Emotional Attention and Extended LSTM,2026,International Journal of Intelligent Systems,10.1155/int/7540106,A_Direct_Methodological_Priority,26,High,Price,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Multimodal; Transformer_Attention
M-1108,Relational adversarial deviation score for robust multi-modal stock market prediction under data poisoning attacks,2026,"Engineering Science and Technology, an International Journal",10.1016/j.jestch.2026.102450,A_Direct_Methodological_Priority,26,High,Price,Yes,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention
M-1017,A multifactor model using large language models and multimodal investor sentiment,2025,International Review of Economics and Finance,10.1016/j.iref.2025.104281,A_Direct_Methodological_Priority,26,High,Return,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Multimodal; Fusion
M-1500,A novel framework using particle swarm optimization and long short-term memory networks for stock market forcasting,2025,Scientific Reports,10.1038/s41598-025-26087-w,A_Direct_Methodological_Priority,26,High,Price,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Optimization; Metaheuristic
M-2384,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors,2025,Electronics (Switzerland),10.3390/electronics14061090,A_Direct_Methodological_Priority,26,High,Price,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention; Optimization; XAI
M-0597,Revisiting time-varying dynamics in stock market forecasting: A multi-source sentiment analysis approach with large language model,2025,Decision Support Systems,10.1016/j.dss.2024.114362,A_Direct_Methodological_Priority,26,High,Return,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Multimodal; Multi_Stock
M-1792,UniBizNet: A Unified Business Intelligence Network for Strategic Multimodal Data Integration and Predictive Analysis,2025,IEEE Open Journal of the Computer Society,10.1109/ojcs.2025.3626308,A_Direct_Methodological_Priority,26,High,Price; Direction/Movement,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention
M-2469,Incorporating Multi-Source Market Sentiment and Price Data for Stock Price Prediction,2024,Mathematics,10.3390/math12101572,A_Direct_Methodological_Priority,26,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention
M-2355,"Innovative Sentiment Analysis and Prediction of Stock Price Using FinBERT, GPT-4 and Logistic Regression: A Data-Driven Approach",2024,Big Data and Cognitive Computing,10.3390/bdcc8110143,A_Direct_Methodological_Priority,26,High,Price; Direction/Movement,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Transformer_Attention; Optimization
M-0708,A hybrid framework of large language models and transformer networks for multimodal stock movement prediction,2026,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2026.115736,A_Direct_Methodological_Priority,25,High,Direction/Movement; Trend,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; LLM_FinGPT; Multimodal; Transformer_Attention
M-2573,A hybrid transformer framework integrating sentiment and dynamic market structure for stock price movement forecasting,2026,AIMS Mathematics,10.3934/math.2026043,A_Direct_Methodological_Priority,25,High,Price; Direction/Movement,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention
M-1723,A Multimodal Deep Fusion Method for Stock Movement Prediction Using Heterogeneous Data Source,2026,IEEE Access,10.1109/access.2026.3654950,A_Direct_Methodological_Priority,25,High,Direction/Movement; Trend,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,FinBERT_BERT_RoBERTa; Multimodal; Fusion; XAI
M-0003,Algorithm Design for Stock Price Prediction System Based on Distilbert Financial News Sentiment Analysis Model,2026,Engineering Reports,10.1002/eng2.70852,A_Direct_Methodological_Priority,25,High,Price; Direction/Movement; Trend,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; Multimodal; Fusion; Transformer_Attention
M-0275,Comparison of short-term and long-term forecasts using machine learning across S&P 500 industries with financial and market indicators,2026,Journal of Supercomputing,10.1007/s11227-026-08334-7,A_Direct_Methodological_Priority,25,High,Price; Trend,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Technical_Indicators; Fundamental_Data; XAI; Temporal_Validation; Multi_Stock
M-2245,Hybrid Deep Learning Technique for Stock Price Prediction,2026,International Journal of Drug Delivery Technology,10.25258/ijddt.16.2.70,A_Direct_Methodological_Priority,25,High,Price,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Technical_Indicators; Sentiment; XAI; Temporal_Validation; Indian_Market
M-0830,Integrative stock price trend prediction via hierarchical LLM text processing and patch-based transformer with co-attention,2026,Expert Systems with Applications,10.1016/j.eswa.2025.130441,A_Direct_Methodological_Priority,25,High,Price; Direction/Movement; Trend,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; LLM_FinGPT; Multimodal; Fusion; Transformer_Attention
M-1383,"RNN-based stock price forecasting through the integration of technical indicators, fundamental data, and news sentiment analysis",2026,Procedia Computer Science,10.1016/j.procs.2026.07.157,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; Financial_News; Sentiment
M-0343,Sentiment-aware stock price prediction with transformer and LLM-generated formulaic alpha,2026,Digital Finance,10.1007/s42521-026-00176-5,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; LLM_FinGPT; Transformer_Attention; XAI
M-2496,SGA-DCAT: Sentiment-Gated Dual-Stream Cross-Attention Temporal Network for Stock Price Prediction,2026,Mathematics,10.3390/math14101661,A_Direct_Methodological_Priority,25,High,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; Fusion; Transformer_Attention; Temporal_Validation
M-0600,Stock time series prediction correction expert: A knowledge-guided stable multiple large language models enhancement method,2026,Decision Support Systems,10.1016/j.dss.2026.114723,A_Direct_Methodological_Priority,25,High,Trend,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; LLM_FinGPT; Multimodal
M-0191,The Impact and Prediction of Investor Sentiment on Stock Market Returns: Evidence from Multisource Heterogeneous Data,2026,Computational Economics,10.1007/s10614-025-11096-8,A_Direct_Methodological_Priority,25,High,Return,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Sentiment; Multimodal; Fusion
M-2406,An Interpretable 1D-CNN Framework for Stock Price Forecasting: A Comparative Study with LSTM and ARIMA,2025,FinTech,10.3390/fintech4040063,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Multimodal; XAI
M-2357,Chinese Financial News Analysis for Sentiment and Stock Prediction: A Comparative Framework with Language Models,2025,Big Data and Cognitive Computing,10.3390/bdcc9100263,A_Direct_Methodological_Priority,25,High,Price; Trend,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Transformer_Attention
M-2399,Leveraging Large Language Models and Data Augmentation in Cognitive Computing to Enhance Stock Price Predictions †,2025,Engineering Proceedings,10.3390/engproc2025112040,A_Direct_Methodological_Priority,25,High,Price; Direction/Movement,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Transformer_Attention
M-2478,LLM-Augmented Linear Transformer–CNN for Enhanced Stock Price Prediction,2025,Mathematics,10.3390/math13030487,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; FinBERT_BERT_RoBERTa; LLM_FinGPT; Multimodal; Transformer_Attention
M-2481,MambaLLM: Integrating Macro-Index and Micro-Stock Data for Enhanced Stock Price Prediction,2025,Mathematics,10.3390/math13101599,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; FinBERT_BERT_RoBERTa; LLM_FinGPT; Multimodal
M-0333,SABER: a multimodal sentiment aware regression framework using ROBERTa BiLSTM and deep batch active learning for stock market prediction,2025,International Journal of Information Technology (Singapore),10.1007/s41870-025-02802-8,A_Direct_Methodological_Priority,25,High,Price,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Optimization
M-0164,Stock Market Prediction Using Deep Attention Bi-directional Long Short-Term Memory,2025,Computational Economics,10.1007/s10614-024-10719-w,A_Direct_Methodological_Priority,25,High,Price,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Fundamental_Data; Transformer_Attention; Optimization; Indian_Market
M-0657,Forecasting multistep daily stock prices for long-term investment decisions: A study of deep learning models on global indices,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107617,A_Direct_Methodological_Priority,25,High,Price,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Technical_Indicators; Fundamental_Data; Temporal_Validation; Indian_Market; Multi_Stock
M-1656,AI driven sentiment analysis in financial markets: using transformer base models and social media signals for stock market predictions,2026,Journal of Modelling in Management,10.1108/jm2-08-2025-0415,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention
M-1075,Can linguistic vagueness in annual reports forecast stock price crash risk?,2026,Journal of Contemporary Accounting and Economics,10.1016/j.jcae.2026.100590,A_Direct_Methodological_Priority,24,High,Price,Unclear,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT
M-2499,Comparative Evaluation of Deep Learning Architectures for Next-Day Stock Price Forecasting Using Technical Indicators,2026,Mathematics,10.3390/math14152736,A_Direct_Methodological_Priority,24,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Technical_Indicators; Sentiment; Optimization; Temporal_Validation
M-1725,DBC-LSTM-ARIMA as a Dynamic Bi-Directional Coupling and Jointly-Optimized Hybrid Approach for Stock Price Prediction,2026,IEEE Access,10.1109/access.2026.3662742,A_Direct_Methodological_Priority,24,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Technical_Indicators; Fusion; Optimization; Temporal_Validation
M-1199,Dual stream deep learning for fake news-aware stock prediction: Integrating technical indicators and sentiment analysis,2026,Machine Learning with Applications,10.1016/j.mlwa.2026.100883,A_Direct_Methodological_Priority,24,High,Price,Yes,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Fusion
M-2665,Forecasting Saudi Weekly Equity Returns Using Bilingual News Sentiment and Machine Learning,2026,Advances in Artificial Intelligence and Machine Learning,10.54364/aaiml.2026.61278,A_Direct_Methodological_Priority,24,High,Return,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Temporal_Validation
M-0213,Hybrid Prediction Framework Using Novel Stability-enhanced Dynamic Thresholding Feature Selection and Artificial Intelligence Methods for Financial Market Trend Prediction,2026,Computational Economics,10.1007/s10614-026-11346-3,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement; Trend,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Unclear,Technical_Indicators; Optimization; XAI; Temporal_Validation
M-1760,LLM-Based Stock Price and Volatility Prediction: A Multi-Modal Deep Learning Framework Integrating Financial News Sentiment and Technical Indicators,2026,2026 2nd International Conference on Computational Intelligence Approaches and Applications (ICCIAA),10.1109/icciaa68481.2026.11544016,A_Direct_Methodological_Priority,24,High,Price,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; LLM_FinGPT; Multimodal
